"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Теофанівна","F","Теофановны","Теофановне","Теофановны","Теофановной","Теофановне"
"Теофанійович","M","Теофаниевича","Теофаниевичу","Теофаниевича","Теофаниевичем","Теофаниевиче"
"Теофилович","M","","","","",""
"Теофиловна","F","","","","",""
"Теофілович","M","Теофиловича","Теофиловичу","Теофиловича","Теофиловичем","Теофиловиче"
"Теофілівна","F","Теофиловны","Теофиловне","Теофиловны","Теофиловной","Теофиловне"
"Терентьевич","M","","","","",""
"Терентьевна","F","","","","",""
"Терентійович","M","Терентьевича","Терентьевичу","Терентьевича","Терентьевичем","Терентьевиче"
"Терентіївна","F","Терентьевны","Терентьевне","Терентьевны","Терентьевной","Терентьевне"
"Теуфеківна","F","Теуфековны","Теуфековне","Теуфековны","Теуфековной","Теуфековне"
"Тешатович","M","Тешатовича","Тешатовичу","Тешатовича","Тешатовичем","Тешатовиче"
"Тешатовна","F","","","","",""
"Тешатівна","F","Тешатовны","Тешатовне","Тешатовны","Тешатовной","Тешатовне"
"Тешаївна","F","Тешаевны","Тешаевне","Тешаевны","Тешаевной","Тешаевне"
"Тиберьевич","M","","","","",""
"Тиберьевна","F","","","","",""
"Тиберійович","M","Тибериевича","Тибериевичу","Тибериевича","Тибериевичем","Тибериевиче"
"Тиберіївна","F","Тибериевны","Тибериевне","Тибериевны","Тибериевной","Тибериевне"
"Тиборович","M","Тиборовича","Тиборовичу","Тиборовича","Тиборовичем","Тиборовиче"
"Тиборовна","F","","","","",""
"Тиборівна","F","Тиборовны","Тиборовне","Тиборовны","Тиборовной","Тиборовне"
"Тигранович","M","Тиграновича","Тиграновичу","Тиграновича","Тиграновичем","Тиграновиче"
"Тиграновна","F","","","","",""
"Тигранівна","F","Тиграновны","Тиграновне","Тиграновны","Тиграновной","Тиграновне"
"Тимкович","M","Тымковича","Тымковичу","Тымковича","Тымковичем","Тымковиче"
"Тимович","M","","","","",""
"Тимовна","F","","","","",""
"Тимонович","M","Тимоновича","Тимоновичу","Тимоновича","Тимоновичем","Тимоновиче"
"Тимонівна","F","Тимоновны","Тимоновне","Тимоновны","Тимоновной","Тимоновне"
"Тимофеевич","M","","","","",""
"Тимофеевна","F","","","","",""
"Тимофійович","M","Тимофеевича","Тимофеевичу","Тимофеевича","Тимофеевичем","Тимофеевиче"
"Тимофіївна","F","Тимофеевны","Тимофеевне","Тимофеевны","Тимофеевной","Тимофеевне"
"Тимошевич","M","Тимошевича","Тимошевичу","Тимошевича","Тимошевичем","Тимошевиче"
"Тимошевна","F","","","","",""
"Тимошівна","F","Тимошевны","Тимошевне","Тимошевны","Тимошевной","Тимошевне"
"Тимурович","M","Тимуровича","Тимуровичу","Тимуровича","Тимуровичем","Тимуровиче"
"Тимуровна","F","","","","",""
"Тимурівна","F","Тимуровны","Тимуровне","Тимуровны","Тимуровной","Тимуровне"
"Тимівна","F","Тимовны","Тимовне","Тимовны","Тимовной","Тимовне"
"Титович","M","Титовича","Титовичу","Титовича","Титовичем","Титовиче"
"Титовна","F","","","","",""
"Титусович","M","Титусовича","Титусовичу","Титусовича","Титусовичем","Титусовиче"
"Титівна","F","Титовны","Титовне","Титовны","Титовной","Титовне"
"Тифіківна","F","Тификовны","Тификовне","Тификовны","Тификовной","Тификовне"
"Тихомирович","M","Тихомировича","Тихомировичу","Тихомировича","Тихомировичем","Тихомировиче"
"Тихомировна","F","","","","",""
"Тихомирівна","F","Тихомировны","Тихомировне","Тихомировны","Тихомировной","Тихомировне"
"Тихонович","M","Тихоновича","Тихоновичу","Тихоновича","Тихоновичем","Тихоновиче"
"Тихоновна","F","","","","",""
"Тихонівна","F","Тихоновны","Тихоновне","Тихоновны","Тихоновной","Тихоновне"
"Тиштівна","F","Тиштовны","Тиштовне","Тиштовны","Тиштовной","Тиштовне"
"Тлеубеківна","F","Тлеубековны","Тлеубековне","Тлеубековны","Тлеубековной","Тлеубековне"
"Тоданівна","F","Тодановне","Тодановны","Тодановны","Тодановной","Тодановне"
"Тоджанович","M","","","","",""
"Тоджановна","F","","","","",""
"Тодорович","M","Тодоровича","Тодоровичу","Тодоровича","Тодоровичем","Тодоровиче"
"Тодоровна","F","","","","",""
"Тодорівна","F","Тодоровны","Тодоровне","Тодоровны","Тодоровной","Тодоровне"
"Тодосійович","M","Тодосиевича","Тодосиевичу","Тодосиевича","Тодосиевичем","Тодосиевиче"
"Тодосіївна","F","Тодосиевны","Тодосиевне","Тодосиевны","Тодосиевной","Тодосиевне"
"Тойвівна","F","Тойвовны","Тойвовне","Тойвовны","Тойвовной","Тойвовне"
"Толбонович","M","Толбоновича","Толбоновичу","Толбоновича","Толбоновичем","Толбоновиче"
"Толгатівна","F","Толгатовны","Толгатовне","Толгатовны","Толгатовной","Толгатовне"
"Толфікович","M","Толфиковича","Толфиковичу","Толфиковича","Толфиковичем","Толфиковиче"
"Толійович","M","Толиевича","Толиевичу","Толиевича","Толиевичем","Толиевиче"
"Томасович","M","","","","",""
"Томасовна","F","","","","",""
"Томашович","M","Томашевича","Томашевичу","Томашевича","Томашевичем","Томашевиче"
"Томашовна","F","","","","",""
"Томашівна","F","Томашевны","Томашевне","Томашевны","Томашевной","Томашевне"
"Томерович","M","","","","",""
"Томеровна","F","","","","",""
"Томилівна","F","Томиловны","Томиловне","Томиловны","Томиловной","Томиловне"
"Томович","M","Томовича","Томовичу","Томовича","Томовичем","Томовиче"
"Томовна","F","","","","",""
"Томівна","F","Томовны","Томовне","Томовны","Томовной","Томовне"
"Тониевич","M","","","","",""
"Тониевна","F","","","","",""
"Торайович","M","Тораевича","Тораевичу","Тораевича","Тораевичем","Тораевиче"
"Тореодорович","M","Тореодоровича","Тореодоровичу","Тореодоровича","Тореодоровичем","Тореодоровиче"
"Торжович","M","Торжевича","Торжевичу","Торжевича","Торжевичем","Торжевиче"
"Торосович","M","Торосевича","Торосевичу","Торосевича","Торосевичем","Торосевиче"
"Торосовна","F","","","","",""
"Торосівна","F","Торосовны","Торосовне","Торосовны","Торосовной","Торосовне"
"Тотразівна","F","Тотразовны","Тотразовне","Тотразовны","Тотразовной","Тотразовне"
"Тофикович","M","","","","",""
"Тофиковна","F","","","","",""
"Тофтисович","M","Тофтисовича","Тофтисовичу","Тофтисовича","Тофтисовичем","Тофтисовиче"
"Тофікович","M","Тофиковича","Тофиковичу","Тофиковича","Тофиковичем","Тофиковиче"
"Тофіківна","F","Тофиковны","Тофиковне","Тофиковны","Тофиковной","Тофиковне"
"Тофілович","M","Тофилевича","Тофилевичу","Тофилевича","Тофилевичем","Тофилевиче"
"Тофітович","M","Тофитовича","Тофитовичу","Тофитовича","Тофитовичем","Тофитовиче"
"Тошипеківна","F","Тошипековны","Тошипековне","Тошипековны","Тошипековной","Тошипековне"
"Трандафірович","M","Трандафировича","Трандафировичу","Трандафировича","Трандафировичем","Трандафировиче"
"Тристанович","M","","","","",""
"Тристановна","F","","","","",""
"Трифонович","M","Трифоновича","Трифоновичу","Трифоновича","Трифоновичем","Трифоновиче"
"Трифоновна","F","","","","",""
"Трифонівна","F","Трифоновны","Трифоновне","Трифоновны","Трифоновной","Трифоновне"
"Трохимович","M","Трофимовича","Трофимовичу","Трофимовича","Трофимовичем","Трофимовиче"
"Трохимовна","F","","","","",""
"Трохимівна","F","Трофимовны","Трофимовне","Трофимовны","Трофимовной","Трофимовне"
"Троянович","M","Трояновича","Трояновичу","Трояновича","Трояновичем","Трояновиче"
"Трояновна","F","","","","",""
"Троянівна","F","Трояновны","Трояновне","Трояновны","Трояновной","Трояновне"
"Тріелович","M","Триэловича","Триэловичу","Триэловича","Триэловичем","Триэловиче"
"Трістанович","M","Тристановича","Тристановичу","Тристановича","Тристановичем","Тристановиче"
"Трістанівна","F","Тристановны","Тристановне","Тристановны","Тристановной","Тристановне"
"Туймуродівна","F","Туймуродовны","Туймуродовне","Туймуродовны","Туймуродовной","Туймуродовне"
"Тулиевич","M","","","","",""
"Тулиевна","F","","","","",""
"Тулюгалівна","F","Тулюгаловны","Тулюгаловне","Тулюгаловны","Тулюгаловной","Тулюгаловне"
"Туляганівна","F","Тулягановны","Тулягановне","Тулягановны","Тулягановной","Тулягановне"
"Тунсиевич","M","","","","",""
"Тунсиевна","F","","","","",""
"Туралійович","M","Туралиевича","Туралиевичу","Туралиевича","Туралиевичем","Туралиевиче"
"Тургулович","M","","","","",""
"Тургуловна","F","","","","",""
"Тургумбаївна","F","Тургумбаевны","Тургумбаевне","Тургумбаевны","Тургумбаевной","Тургумбаевне"
"Тургунбаевич","M","","","","",""
"Тургунбаевна","F","","","","",""
"Турдимуратович","M","Турдимуратовича","Турдимуратовичу","Турдимуратовича","Турдимуратовичем","Турдимуратовиче"
"Турсинович","M","Турсиновича","Турсиновичу","Турсиновича","Турсиновичем","Турсиновиче"
"Турсунівна","F","Турсуновны","Турсуновне","Турсуновны","Турсуновной","Турсуновне"
"Туріївна","F","Туриевны","Туриевне","Туриевны","Туриевной","Туриевне"
"Тутусійович","M","Тутусиевича","Тутусиевичу","Тутусиевича","Тутусиевичем","Тутусиевиче"
"Тухтасійович","M","Тухтасиевича","Тухтасиевичу","Тухтасиевича","Тухтасиевичем","Тухтасиевиче"
"Тіберівна","F","Тиберовны","Тиберовне","Тиберовны","Тиберовной","Тиберовне"
"Тілетович","M","Тилетовича","Тилетовичу","Тилетовича","Тилетовичем","Тилетовиче"
"Тітусівна","F","Титусовны","Титусовне","Титусовны","Титусовной","Титусовне"
"Тіхирівна","F","Тихировны","Тихировне","Тихировны","Тихировной","Тихировне"
"Удаевич","M","","","","",""
"Удаевна","F","","","","",""
"Узакович","M","","","","",""
"Узаковна","F","","","","",""
"Уктямівна","F","Уктямовны","Уктямовне","Уктямовну","Уктямовной","Уктямовне"
"Улвиевич","M","","","","",""
"Улвиевна","F","","","","",""
"Улияновгна","F","","","","",""
"Улиянович","M","","","","",""
"Ульріхович","M","Ульриховича","Ульриховичу","Ульриховича","Ульриховичем","Ульриховиче"
"Ульфатович","M","Ульфатовича","Ульфатовичу","Ульфатовича","Ульфатовичем","Ульфатовиче"
"Ульянович","M","Ульяновича","Ульяновичу","Ульяновича","Ульяновичем","Ульяновиче"
"Улянівна","F","Ульяновны","Ульяновне","Ульяновны","Ульяновной","Ульяновне"
"Улішівна","F","Улишевны","Улишевне","Улишевны","Улишевной","Улишевне"
"Умаканівна","F","Умакановны","Умакановне","Умакановны","Умакановной","Умакановне"
"Умарівна","F","Умаровны","Умаровне","Умаровны","Умаровной","Умаровне"
"Уматгеріївна","F","Уматгериевны","Уматгериевне","Уматгериевны","Уматгериевной","Уматгериевне"
"Умерович","M","Умеровича","Умеровичу","Умеровича","Умеровичем","Умеровиче"
"Умеровна","F","","","","",""
"Умерівна","F","Умеровны","Умеровне","Умеровны","Умеровной","Умеровне"
"Уметович","M","Уметовича","Уметовичу","Уметовича","Уметовичем","Уметовиче"
"Умидович","M","","","","",""
"Умидовна","F","","","","",""
"Умирянович","M","Умиряновича","Умиряновичу","Умиряновича","Умиряновичем","Умиряновиче"
"Умурзакович","M","Умурзаковича","Умурзаковичу","Умурзаковича","Умурзаковичем","Умурзаковиче"
"Унаркулович","M","Унаркуловича","Унаркуловичу","Унаркуловича","Унаркуловичем","Унаркуловиче"
"Уолентович","M","Уолентовича","Уолентовичу","Уолентовича","Уолентовичем","Уолентовиче"
"Уразалійович","M","Уразалиевича","Уразалиевичу","Уразалиевича","Уразалиевичем","Уразалиевиче"
"Урал Огли","M","Урал Оглы","Урал Оглы","Урал Оглы","Урал Оглы","Урал Оглы"
"Уриніївна","F","Уринеевны","Уринеевне","Уринеевны","Уринеевной","Уринеевне"
"Урмасович","M","","","","",""
"Урмасовна","F","","","","",""
"Урфанович","M","","","","",""
"Урфановна","F","","","","",""
"Урхович","M","","","","",""
"Урховна","F","","","","",""
