"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Грантович","M","Грантовича","Грантовичу","Грантовича","Грантовичем","Грантовиче"
"Грантовна","F","","","","",""
"Грантівна","F","Грантовны","Грантовне","Грантовны","Грантовной","Грантовне"
"Грацианович","M","","","","",""
"Грациановна","F","","","","",""
"Граціянович","M","Грацияновича","Грацияновичу","Грацияновича","Грацияновичем","Грацияновиче"
"Грачикович","M","Грачиковича","Грачиковичу","Грачиковича","Грачиковичем","Грачиковиче"
"Грачиковна","F","","","","",""
"Грачиківна","F","Грачиковны","Грачиковне","Грачиковны","Грачиковной","Грачиковне"
"Грегориевич","M","","","","",""
"Грегориевна","F","","","","",""
"Гремікович","M","Гремиковича","Гремиковичу","Гремиковича","Гремиковичем","Гремиковиче"
"Григорович","M","Григорьевича","Григорьевичу","Григорьевича","Григорьевичем","Григорьевиче"
"Григорьевич","M","","","","",""
"Григорьевна","F","","","","",""
"Григорівна","F","Григорьевны","Григорьевне","Григорьевны","Григорьевной","Григорьевне"
"Грифонович","M","Грифоновича","Грифоновичу","Грифоновича","Грифоновичем","Грифоновиче"
"Губарович","M","","","","",""
"Губаровна","F","","","","",""
"Губертович","M","Губертовича","Губертовичу","Губертовича","Губертовичем","Губертовиче"
"Губертівна","F","Губертовны","Губертовне","Губертовны","Губертовной","Губертовне"
"Гугарович","M","Гугаровича","Гугаровичу","Гугаровича","Гугаровичем","Гугаровиче"
"Гугенович","M","Гугеновича","Гугеновичу","Гугеновича","Гугеновичем","Гугеновиче"
"Гудайович","M","Гудаевича","Гудаевичу","Гудаевича","Гудаевичем","Гудаевиче"
"Гудуевич","M","","","","",""
"Гудуевна","F","","","","",""
"Гукасович","M","Гукасовича","Гукасовичу","Гукасовича","Гукасовичем","Гукасовиче"
"Гукасовна","F","","","","",""
"Гукасівна","F","Гукасовны","Гукасовне","Гукасовны","Гукасовной","Гукасовне"
"Гульмінович","M","Гульминовича","Гульминовичу","Гульминовича","Гульминовичем","Гульминовиче"
"Гуліверович","M","Гуливеровича","Гуливеровичу","Гуливеровича","Гуливеровичем","Гуливеровиче"
"Гумарович","M","Гумаровича","Гумаровичу","Гумаровича","Гумаровичем","Гумаровиче"
"Гумаровна","F","","","","",""
"Гумасович","M","","","","",""
"Гумасовна","F","","","","",""
"Гумерівна","F","Гумеровны","Гумеровне","Гумеровны","Гумеровной","Гумеровне"
"Гунарович","M","Гунаровича","Гунаровичу","Гунаровича","Гунаровичем","Гунаровиче"
"Гуннарівна","F","Гуннаровны","Гуннаровне","Гуннаровны","Гуннаровной","Гуннаровне"
"Гуптавич","M","","","","",""
"Гуптавна","F","","","","",""
"Гурамович","M","Гурамовича","Гурамовичу","Гурамовича","Гурамовичем","Гурамовиче"
"Гурамовна","F","","","","",""
"Гурамівна","F","Гурамовны","Гурамовне","Гурамовны","Гурамовной","Гурамовне"
"Гуранович","M","Гурановича","Гурановичу","Гурановича","Гурановичем","Гурановиче"
"Гурановна","F","","","","",""
"Гуранівна","F","Гурановны","Гурановне","Гурановны","Гурановной","Гурановне"
"Гурбанович","M","","","","",""
"Гурбановна","F","","","","",""
"Гургенович","M","Гургеновича","Гургеновичу","Гургеновича","Гургеновичем","Гургеновиче"
"Гургеновна","F","","","","",""
"Гургенівна","F","Гургеновны","Гургеновне","Гургеновны","Гургеновной","Гургеновне"
"Гуриевич","M","","","","",""
"Гуриевна","F","","","","",""
"Гурійович","M","Гуриевича","Гуриевичу","Гуриевича","Гуриевичем","Гуриевиче"
"Гуріївна","F","Гуриевны","Гуриевне","Гуриевны","Гуриевной","Гуриевне"
"Гусейнович","M","Гусейновича","Гусейновичу","Гусейновича","Гусейновичем","Гусейновиче"
"Гусейновна","F","","","","",""
"Гусейнівна","F","Гусейновны","Гусейновне","Гусейновны","Гусейновной","Гусейновне"
"Гусманович","M","Гусмановича","Гусмановичу","Гусмановича","Гусмановичем","Гусмановиче"
"Гусманівна","F","Гусмановны","Гусмановне","Гусмановны","Гусмановной","Гусмановне"
"Густавович","M","Густавовича","Густавовичу","Густавовича","Густавовичем","Густавовиче"
"Густавовна","F","","","","",""
"Густавівна","F","Густавовны","Густавовне","Густавовны","Густавовной","Густавовне"
"Гюлапович","M","Гюлаповича","Гюлаповичу","Гюлаповича","Гюлаповичем","Гюлаповиче"
"Гюлаповна","F","","","","",""
"Гюлапівна","F","Гюлаповны","Гюлаповне","Гюлаповны","Гюлаповной","Гюлаповне"
"Гюлахмед Огли","M","Гюлахмед Оглы","Гюлахмед Оглы","Гюлахмед Оглы","Гюлахмед Оглы","Гюлахмед Оглы"
"Гюльогланович","M","Гюльоглановича","Гюльоглановичу","Гюльоглановича","Гюльоглановичем","Гюльоглановиче"
"Гюлядинович","M","Гюлядиновича","Гюлядиновичу","Гюлядиновича","Гюлядиновичем","Гюлядиновиче"
"Гюлядиновна","F","","","","",""
"Гюнерович","M","","","","",""
"Гюнеровна","F","","","","",""
"Гіазівна","F","Гиазовны","Гиазовне","Гиазовны","Гиазовной","Гиазовне"
"Гівійович","M","Гивиевича","Гивиевичу","Гивиевича","Гивиевичем","Гивиевиче"
"Гівіївна","F","Гивиевны","Гивиевне","Гивиевны","Гивиевной","Гивиевне"
"Гізович","M","Гизовича","Гизовичу","Гизовича","Гизовичем","Гизовиче"
"Гіланійович","M","Гиланиевича","Гиланиевичу","Гиланиевича","Гиланиевичем","Гиланиевиче"
"Гілерійович","M","Гилериевича","Гилериевичу","Гилериевича","Гилериевичем","Гилериевиче"
"Гільфанович","M","Гильфановича","Гильфановичу","Гильфановича","Гильфановичем","Гильфановиче"
"Гілярівна","F","Гиляровны","Гиляровне","Гиляровны","Гиляровной","Гиляровне"
"Гілярійович","M","Гиляриевича","Гиляриевичу","Гиляриевича","Гиляриевичем","Гиляриевиче"
"Гісонівна","F","Гисоновны","Гисоновне","Гисоновны","Гисоновной","Гисоновне"
"Гіульївна","F","Гиульевны","Гиульевне","Гиульевны","Гиульевной","Гиульевне"
"Гіязович","M","Гиязовича","Гиязовичу","Гиязовича","Гиязовичем","Гиязовиче"
"Гіясович","M","Гиясовича","Гиясовичу","Гиясовича","Гиясовичем","Гиясовиче"
"Гіївна","F","Гиевны","Гиевне","Гиевнуы","Гиевной","Гиевне"
"Давидович","M","Давидовича","Давидовичу","Давидовича","Давидовичем","Давидовиче"
"Давидовна","F","","","","",""
"Давидівна","F","Давидовны","Давидовне","Давидовны","Давидовной","Давидовне"
"Давитович","M","","","","",""
"Давитовна","F","","","","",""
"Давлетович","M","Давлетовича","Давлетовичу","Давлетовича","Давлетовичем","Давлетовиче"
"Давлятярович","M","Давлятяровича","Давлятяровичу","Давлятяровича","Давлятяровичем","Давлятяровиче"
"Дагласович","M","","","","",""
"Дагласовна","F","","","","",""
"Дагмарович","M","","","","",""
"Дагмаровна","F","","","","",""
"Дадаш Огли","M","Дадаш Оглы","Дадаш Оглы","Дадаш Оглы","Дадаш Оглы","Дадаш Оглы"
"Дайтович","M","","","","",""
"Дайтовна","F","","","","",""
"Далгатович","M","Далгатовича","Далгатовичу","Далгатовича","Далгатовичем","Далгатовиче"
"Далгатовна","F","","","","",""
"Далгатівна","F","Далгатовны","Далгатовне","Далгатовны","Далгатовной","Далгатовне"
"Дальнотівна","F","Дальнотовны","Дальнотовне","Дальнотовны","Дальнотовной","Дальнотовне"
"Дальтониевич","M","","","","",""
"Дальтониевна","F","","","","",""
"Дальтонович","M","Дальтоновича","Дальтоновичу","Дальтоновича","Дальтоновичем","Дальтоновиче"
"Дамирович","M","","","","",""
"Дамировна","F","","","","",""
"Даміанович","M","Дамиановича","Дамиановичу","Дамиановича","Дамиановичем","Дамиановиче"
"Дамірович","M","Дамировича","Дамировичу","Дамировича","Дамировичем","Дамировиче"
"Данатович","M","","","","",""
"Данатовна","F","","","","",""
"Даниилович","M","","","","",""
"Данииловна","F","","","","",""
"Данилович","M","Даниловича","Даниловичу","Даниловича","Даниловичем","Даниловиче"
"Даниловна","F","","","","",""
"Данилівна","F","Даниловны","Даниловне","Даниловны","Даниловной","Даниловне"
"Даниэльевич","M","","","","",""
"Даниэльевна","F","","","","",""
"Данкович","M","","","","",""
"Данковна","F","","","","",""
"Данович","M","","","","",""
"Дановна","F","","","","",""
"Даніелівна","F","Даниэловны","Даниэловне","Даниэловны","Даниэловной","Даниэловне"
"Даніялівна","F","Данияловны","Данияловне","Данияловны","Данияловной","Данияловне"
"Дариевич","M","","","","",""
"Дариевна","F","","","","",""
"Даркович","M","","","","",""
"Дарковна","F","","","","",""
"Дарюсович","M","","","","",""
"Дарюсовна","F","","","","",""
"Дарійович","M","Дариевича","Дариевичу","Дариевича","Дариевичем","Дариевиче"
"Даріївна","F","Дариевны","Дариевне","Дариевны","Дариевной","Дариевне"
"Дасиевич","M","","","","",""
"Дасиевна","F","","","","",""
"Дасійович","M","Дасиевича","Дасиевичу","Дасиевича","Дасиевичем","Дасиевиче"
"Дасіївна","F","Дасиевны","Дасиевне","Дасиевны","Дасиевной","Дасиевне"
"Датикович","M","Датиковича","Датиковичу","Датиковича","Датиковичем","Датиковиче"
"Датоевич","M","","","","",""
"Датоевна","F","","","","",""
"Даудович","M","Даудовича","Даудовичу","Даудовича","Даудовичем","Даудовиче"
"Даулович","M","","","","",""
"Дауловна","F","","","","",""
"Даулійович","M","Даулиевича","Даулиевичу","Даулиевича","Даулиевичем","Даулиевиче"
"Дауліївна","F","Даулиевны","Даулиевне","Даулиевны","Даулиевной","Даулиевне"
"Даурович","M","Дауровича","Дауровичу","Дауровича","Дауровичем","Дауровиче"
"Даірович","M","Даировича","Даировичу","Даировича","Даировичем","Даировиче"
"Двердіївна","F","Двердиевны","Двердиевне","Двердиевны","Двердиевной","Двердиевне"
"Деамидович","M","","","","",""
"Деамидовна","F","","","","",""
"Девзевович","M","","","","",""
"Девзевовна","F","","","","",""
"Девидович","M","","","","",""
"Девидовна","F","","","","",""
"Девришович","M","Девришевича","Девришевичу","Девришевича","Девришевичем","Девришевиче"
"Дегамович","M","Дегамовича","Дегамовичу","Дегамовича","Дегамовичем","Дегамовиче"
"Дезидерович","M","Дезидеровича","Дезидеровичу","Дезидеровича","Дезидеровичем","Дезидеровиче"
"Дезідеріївна","F","Дезидеровны","Дезидеровне","Дезидеровны","Дезидеровной","Дезидеровне"
"Демʼянович","M","Демьяновича","Демьяновичу","Демьяновича","Демьяновичем","Демьяновиче"
"Демʼянівна","F","Демьяновны","Демьяновне","Демьяновны","Демьяновной","Демьяновне"
"Дементьевич","M","","","","",""
"Дементьевна","F","","","","",""
"Дементійович","M","Дементьевича","Дементьевичу","Дементьевича","Дементьевичем","Дементьевиче"
"Дементіївна","F","Дементиевны","Дементиевне","Дементиевны","Дементиевной","Дементиевне"
"Демидович","M","Демидовича","Демидовичу","Демидовича","Демидовичем","Демидовиче"
"Демидовна","F","","","","",""
"Демидівна","F","Демидовны","Демидовне","Демидовны","Демидовной","Демидовне"
"Демурович","M","Демуровича","Демуровичу","Демуровича","Демуровичем","Демуровиче"
"Демуріївна","F","Демуриевны","Демуриевне","Демуриевны","Демуриевной","Демуриевне"
"Демьянович","M","","","","",""
"Демьяновна","F","","","","",""
"Дениевич","M","","","","",""
"Дениевна","F","","","","",""
"Денисович","M","Денисовича","Денисовичу","Денисовича","Денисовичем","Денисовиче"
"Денисовна","F","","","","",""
"Денисівна","F","Денисовны","Денисовне","Денисовны","Денисовной","Денисовне"
"Денович","M","Деновича","Деновичу","Деновича","Деновичем","Деновиче"
"Деновна","F","","","","",""
"Деомидович","M","Деомидовича","Деомидовичу","Деомидовича","Деомидовичем","Деомидовиче"
"Деомидівна","F","Деомидовны","Деомидовне","Деомидовны","Деомидовной","Деомидовне"
"Деонизиевич","M","","","","",""
"Деонизиевна","F","","","","",""
"Деонизійович","M","Деонизиевича","Деонизиевичу","Деонизиевича","Деонизиевичем","Деонизиевиче"
"Деонизіївна","F","Деонизиевны","Деонизиевне","Деонизиевны","Деонизиевной","Деонизиевне"
"Дербишівна","F","Дербишевны","Дербишевне","Дербишевны","Дербишевной","Дербишевне"
"Дердович","M","Дердевича","Дердевичу","Дердевича","Дердевичем","Дердевиче"
"Дерекович","M","","","","",""
"Дерековна","F","","","","",""
"Дерзібанович","M","Дерзибановича","Дерзибановичу","Дерзибановича","Дерзибановичем","Дерзибановиче"
"Джабарович","M","Джабаровича","Джабаровичу","Джабаровича","Джабаровичем","Джабаровиче"
"Джаббарович","M","","","","",""
"Джаббаровна","F","","","","",""
"Джабиевич","M","","","","",""
"Джабиевна","F","","","","",""
"Джабраилович","M","","","","",""
"Джабраиловна","F","","","","",""
"Джабраілівна","F","Джабраиловны","Джабраиловне","Джабраиловны","Джабраиловной","Джабраиловне"
"Джабраїлович","M","Джабраиловича","Джабраиловичу","Джабраиловича","Джабраиловичем","Джабраиловиче"
"Джавадович","M","Джавадовича","Джавадовичу","Джавадовича","Джавадовичем","Джавадовиче"
"Джавдетович","M","Джавдетовича","Джавдетовичу","Джавдетовича","Джавдетовичем","Джавдетовиче"
"Джавидович","M","","","","",""
"Джавидовна","F","","","","",""
"Джалилович","M","","","","",""
"Джалиловна","F","","","","",""
"Джалілович","M","Джалиловича","Джалиловичу","Джалиловича","Джалиловичем","Джалиловиче"
"Джалілівна","F","Джалиловны","Джалиловне","Джалиловны","Джалиловной","Джалиловне"
"Джамаглаєвич","M","Джамаглаевича","Джамаглаевичу","Джамаглаевича","Джамаглаевичем","Джамаглаевиче"
"Джамалович","M","","","","",""
"Джамаловна","F","","","","",""
"Джамбулович","M","","","","",""
"Джамбуловна","F","","","","",""
"Джамильевич","M","","","","",""
"Джамильевна","F","","","","",""
"Джангійович","M","Джангиевича","Джангиевичу","Джангиевича","Джангиевичем","Джангиевиче"
"Джанибекович","M","Джанибековича","Джанибековичу","Джанибековича","Джанибековичем","Джанибековиче"
"Джанилівна","F","Джаниловны","Джаниловне","Джаниловны","Джаниловной","Джаниловне"
"Джанович","M","Джановича","Джановичу","Джановича","Джановичем","Джановиче"
"Джановна","F","","","","",""
"Джаркинбекович","M","","","","",""
"Джаркинбековна","F","","","","",""
"Джафарович","M","Джафаровича","Джафаровичу","Джафаровича","Джафаровичем","Джафаровиче"
"Джафаровна","F","","","","",""
"Джаферович","M","Джаферовича","Джаферовичу","Джаферовича","Джаферовичем","Джаферовиче"
"Джаферівна","F","Джаферовны","Джаферовне","Джаферовны","Джаферовной","Джаферовне"
"Джебарович","M","Джебаровича","Джебаровичу","Джебаровича","Джебаровичем","Джебаровиче"
"Джевдетович","M","","","","",""
"Джевдетовна","F","","","","",""
"Джедович","M","","","","",""
"Джедовна","F","","","","",""
"Джеймсович","M","","","","",""
"Джеймсовна","F","","","","",""
"Джейсонович","M","","","","",""
"Джейсоновна","F","","","","",""
"Джелялівна","F","Джеляловны","Джеляловне","Джеляловны","Джеляловной","Джеляловне"
"Джемалович","M","Джемаловича","Джемаловичу","Джемаловича","Джемаловичем","Джемаловиче"
"Джемаловна","F","","","","",""
"Джемальдинович","M","Джемальдиновича","Джемальдиновичу","Джемальдиновича","Джемальдиновичем","Джемальдиновиче"
"Джемальдиновна","F","","","","",""
"Джемальдинівна","F","Джемальдиновны","Джемальдиновне","Джемальдиновны","Джемальдиновной","Джемальдиновне"
"Джемалівна","F","Джемаловны","Джемаловне","Джемаловны","Джемаловной","Джемаловне"
"Джемілійович","M","Джемилиевича","Джемилиевичу","Джемилиевича","Джемилиевичем","Джемилиевиче"
"Дженарович","M","","","","",""
"Дженароовна","F","","","","",""
"Джепарович","M","Джепаровича","Джепаровичу","Джепаровича","Джепаровичем","Джепаровиче"
"Джерьевич","M","","","","",""
"Джерьевна","F","","","","",""
"Джеферович","M","","","","",""
"Джеферовна","F","","","","",""
"Дживанович","M","","","","",""
"Дживановна","F","","","","",""
"Дживанівна","F","Дживановны","Дживановне","Дживановны","Дживановной","Дживановне"
"Джиганшиївна","F","Джиганшиевны","Джиганшиевне","Джиганшиевны","Джиганшиевной","Джиганшиевне"
"Джинарівна","F","Джинаровны","Джинаровне","Джинаровны","Джинаровной","Джинаровне"
"Джихадович","M","","","","",""
"Джихадовна","F","","","","",""
"Джовадович","M","","","","",""
"Джовадовна","F","","","","",""
"Джозефович","M","","","","",""
"Джозефовна","F","","","","",""
"Джонатанович","M","","","","",""
"Джонатановна","F","","","","",""
"Джонович","M","Джоновича","Джоновичу","Джоновича","Джоновичем","Джоновиче"
"Джоновна","F","","","","",""
"Джонсович","M","Джонсовича","Джонсовичу","Джонсовича","Джонсовичем","Джонсовиче"
"Джонівна","F","Джоновны","Джоновне","Джоновны","Джоновной","Джоновне"
"Джорджевич","M","","","","",""
"Джорджевна","F","","","","",""
"Джорджович","M","Джорджовича","Джорджовичу","Джорджовича","Джорджовичем","Джорджовиче"
"Джоржівна","F","Джорджевны","Джорджевне","Джорджевны","Джорджевной","Джорджевне"
"Джорович","M","","","","",""
"Джоровна","F","","","","",""
"Джумабайович","M","Джумабаевича","Джумабаевичу","Джумабаевича","Джумабаевичем","Джумабаевиче"
"Джумабаївна","F","Джумабаевны","Джумабаевне","Джумабаевны","Джумабаевной","Джумабаевне"
"Джумайович","M","Джумаевича","Джумаевичу","Джумаевича","Джумаевичем","Джумаевиче"
"Джумберович","M","Джумберовича","Джумберовичу","Джумберовича","Джумберовичем","Джумберовиче"
"Джумберовна","F","","","","",""
"Джумберівна","F","Джумберовны","Джумберовне","Джумберовны","Джумберовной","Джумберовне"
"Джурабайович","M","Джурабаевича","Джурабаевичу","Джурабаевича","Джурабаевичем","Джурабаевиче"
"Джуракулович","M","Джуракуловича","Джуракуловичу","Джуракуловича","Джуракуловичем","Джуракуловиче"
"Джурович","M","","","","",""
"Джуровна","F","","","","",""
"Дзамбулатович","M","Дзамбулатовича","Дзамбулатовичу","Дзамбулатовича","Дзамбулатовичем","Дзамбулатовиче"
"Дзантемірович","M","Дзантемировича","Дзантемировичу","Дзантемировича","Дзантемировичем","Дзантемировиче"
"Дзинтарович","M","Дзинтаровича","Дзинтаровичу","Дзинтаровича","Дзинтаровичем","Дзинтаровиче"
"Дзинтаровна","F","","","","",""
"Дзинтарівна","F","Дзинтаровны","Дзинтаровне","Дзинтаровны","Дзинтаровной","Дзинтаровне"
"Дианович","M","","","","",""
"Диановна","F","","","","",""
"Дизидериевич","M","","","","",""
"Дизидериевна","F","","","","",""
"Дикович","M","","","","",""
"Диковна","F","","","","",""
"Дильбарович","M","","","","",""
"Дильбаровна","F","","","","",""
"Диляверович","M","Диляверовича","Диляверовичу","Диляверовича","Диляверовичем","Диляверовиче"
"Диляверовна","F","","","","",""
"Диляверівна","F","Диляверовны","Диляверовне","Диляверовны","Диляверовной","Диляверовне"
"Димгаудасович","M","","","","",""
"Димгаудасовна","F","","","","",""
"Димитрович","M","Димитровича","Димитровичу","Димитровича","Димитровичем","Димитровиче"
"Димурійович","M","Димуриевича","Димуриевичу","Димуриевича","Димуриевичем","Димуриевиче"
"Динарович","M","","","","",""
"Динаровна","F","","","","",""
"Дионидіївна","F","Дионидиевны","Дионидиевне","Дионидиевны","Дионидиевной","Дионидиевне"
"Дионизиевич","M","","","","",""
"Дионизиевна","F","","","","",""
"Дионисиович","M","","","","",""
"Дионисиовна","F","","","","",""
"Дипакович","M","Дипаковича","Дипаковичу","Дипаковича","Дипаковичем","Дипаковиче"
"Дирмидонтович","M","Дирмидонтовича","Дирмидонтовичу","Дирмидонтовича","Дирмидонтовичем","Дирмидонтовиче"
"Дисанівна","F","Дисановны","Дисановне","Дисановны","Дисановной","Дисановне"
"Дишерівна","F","Дишеровны","Дишеровне","Дишеровны","Дишеровной","Дишеровне"
"Дмитриевич","M","","","","",""
"Дмитриевна","F","","","","",""
"Дмитрович","M","Дмитриевича","Дмитриевичу","Дмитриевича","Дмитриевичем","Дмитриевиче"
"Дмитрівна","F","Дмитриевны","Дмитриевне","Дмитриевны","Дмитриевной","Дмитриевне"
"Доброславович","M","","","","",""
"Доброславовна","F","","","","",""
"Догосівна","F","Догосовны","Догосовне","Догосовны","Догосовной","Догосовне"
"Домзаєвич","M","Домзаевича","Домзаевичу","Домзаевича","Домзаевичем","Домзаевиче"
"Доминикович","M","","","","",""
"Доминиковна","F","","","","",""
"Домінгівна","F","Доминговны","Доминговне","Доминговны","Доминговной","Доминговне"
"Домінікович","M","Доминикиевича","Доминикиевичу","Доминикиевича","Доминикиевичем","Доминикиевиче"
"Домініківна","F","Доминикиевны","Доминикиевне","Доминикиевну","Доминикиевной","Доминикиевне"
"Донатавич","M","","","","",""
"Донатавна","F","","","","",""
"Донатович","M","Донатовича","Донатовичу","Донатовича","Донатовичем","Донатовиче"
"Донатівна","F","Донатовны","Донатовне","Донатовны","Донатовной","Донатовне"
"Дорофеевич","M","","","","",""
"Дорофеевна","F","","","","",""
"Дорофійович","M","Дорофеевича","Дорофеевичу","Дорофеевича","Дорофеевичем","Дорофеевиче"
"Дорофіївна","F","Дорофеевны","Дорофеевне","Дорофеевны","Дорофеевной","Дорофеевне"
"Доріанович","M","Дориановича","Дориановичу","Дориановича","Дориановичем","Дориановиче"
"Дост Мохамад","M","Дост Мохамад","Дост Мохамад","Дост Мохамад","Дост Мохамад","Дост Мохамад"
"Драганович","M","","","","",""
"Драгановна","F","","","","",""
"Драгомирівна","F","Драгомировны","Драгомировне","Драгомировны","Драгомировной","Драгомировне"
"Драгушович","M","Драгушевича","Драгушевичу","Драгушевича","Драгушевичем","Драгушевиче"
"Дтаханчирович","M","Дтаханчировича","Дтаханчировичу","Дтаханчировича","Дтаханчировичем","Дтаханчировиче"
"Дудайович","M","Дудаевича","Дудаевичу","Дудаевича","Дудаевичем","Дудаевиче"
"Дуквахович","M","Дукваховича","Дукваховичу","Дукваховича","Дукваховичем","Дукваховиче"
"Дулкинівна","F","Дулкиновны","Дулкиновне","Дулкиновны","Дулкиновной","Дулкиновне"
"Дументійович","M","Дументиевича","Дументиевичу","Дументиевича","Дументиевичем","Дументиевиче"
"Дурдіївна","F","Дурдиевны","Дурдиевне","Дурдиевны","Дурдиевной","Дурдиевне"
"Дурмишханович","M","Дурмишхановича","Дурмишхановичу","Дурмишхановича","Дурмишхановичем","Дурмишхановиче"
"Дурсунович","M","","","","",""
"Дурсуновна","F","","","","",""
"Душалиевич","M","","","","",""
"Душалиевна","F","","","","",""
"Душамович","M","Душамовича","Душамовичу","Душамовича","Душамовичем","Душамовиче"
"Душанович","M","","","","",""
"Душановна","F","","","","",""
"Дьердович","M","","","","",""
"Дьердовна","F","","","","",""
"Дьєрдович","M","Дьердовича","Дьердовичу","Дьердовича","Дьердовичем","Дьердовиче"
"Дьєрдівна","F","Дьердовны","Дьердовне","Дьердовны","Дьердовной","Дьердовне"
"Дьєрдійович","M","Дьердиевича","Дьердиевичу","Дьердиевича","Дьердиевичем","Дьердиевиче"
"Дюлавич","M","","","","",""
"Дюлавна","F","","","","",""
"Дюлович","M","Дюловича","Дюловичу","Дюловича","Дюловичем","Дюловиче"
"Діамарівна","F","Диамаровны","Диамаровне","Диамаровны","Диамаровной","Диамаровне"
"Дізідерович","M","Дизидеровича","Дизидеровичу","Дизидеровича","Дизидеровичем","Дизидеровиче"
"Дінарович","M","Динаровича","Динаровичу","Динаровича","Динаровичем","Динаровиче"
"Дінарівна","F","Динаровны","Динаровне","Динаровны","Динаровной","Динаровне"
"Діонізійович","M","Дионизиевича","Дионизиевичу","Дионизиевича","Дионизиевичем","Дионизиевиче"
"Діонізіївна","F","Дионизиевны","Дионизиевне","Дионизиевны","Дионизиевной","Дионизиевне"
"Діонісович","M","Дионисовича","Дионисовичу","Дионисовича","Дионисовичем","Дионисовиче"
"Діоскарович","M","Диоскаровича","Диоскаровичу","Диоскаровича","Диоскаровичем","Диоскаровиче"
"Ебазерович","M","Эбазеровича","Эбазеровичу","Эбазеровича","Эбазеровичем","Эбазеровиче"
"Ебазерівна","F","Эбазеровны","Эбазеровне","Эбазеровны","Эбазеровной","Эбазеровне"
"Евальдович","M","Эвальдовича","Эвальдовичу","Эвальдовича","Эвальдовичем","Эвальдовиче"
"Евальдівна","F","Эвальдовны","Эвальдовне","Эвальдовны","Эвальдовной","Эвальдовне"
"Евалійович","M","Эвалиевича","Эвалиевичу","Эвалиевича","Эвалиевичем","Эвалиевиче"
"Еварестович","M","Эварестовича","Эварестовичу","Эварестовича","Эварестовичем","Эварестовиче"
"Евгеньевич","M","","","","",""
"Евгеньевна","F","","","","",""
"Евдокимович","M","","","","",""
"Евдокимовна","F","","","","",""
"Евладьевич","M","","","","",""
"Евладьевна","F","","","","",""
"Евлянович","M","Эвляновича","Эвляновичу","Эвляновича","Эвляновичем","Эвляновиче"
"Евносович","M","Эвносовича","Эвносовичу","Эвносовича","Эвносовичем","Эвносовиче"
"Евносівна","F","Эвносовны","Эвносовне","Эвносовны","Эвносовной","Эвносовне"
"Евремович","M","","","","",""
"Евремовна","F","","","","",""
"Евстахиевич","M","","","","",""
"Евстахиевна","F","","","","",""
"Евтухович","M","","","","",""
"Евтуховна","F","","","","",""
"Евісівна","F","Эвисовны","Эвисовне","Эвисовны","Эвисовной","Эвисовне"
"Егорович","M","","","","",""
"Егоровна","F","","","","",""
"Егізарівна","F","Эгизаровны","Эгизаровне","Эгизаровны","Эгизаровной","Эгизаровне"
"Егіславович","M","Эгиславовича","Эгиславовичу","Эгиславовича","Эгиславовичем","Эгиславовиче"
"Едвардович","M","Эдвардовича","Эдвардовичу","Эдвардовича","Эдвардовичем","Эдвардовиче"
"Едвардівна","F","Эдвардовны","Эдвардовне","Эдвардовны","Эдвардовной","Эдвардовне"
"Едвінович","M","Эдвиновича","Эдвиновичу","Эдвиновича","Эдвиновичем","Эдвиновиче"
"Едвінівна","F","Эдвиновны","Эдвиновне","Эдвиновны","Эдвиновной","Эдвиновне"
"Едгамович","M","Эдгамовича","Эдгамовичу","Эдгамовича","Эдгамовичем","Эдгамовиче"
"Едгардівна","F","Эдгардовны","Эдгардовне","Эдгардовны","Эдгардовной","Эдгардовне"
"Едгарович","M","Эдгаровича","Эдгаровичу","Эдгаровича","Эдгаровичем","Эдгаровиче"
"Едемович","M","Эдемовича","Эдемовичу","Эдемовича","Эдемовичем","Эдемовиче"
"Едемівна","F","Эдемовны","Эдемовне","Эдемовны","Эдемовной","Эдемовне"
"Едиківна","F","Эдиковны","Эдиковне","Эдиковны","Эдиковной","Эдиковне"
"Едимович","M","Эдимовича","Эдимовичу","Эдимовича","Эдимовичем","Эдимовиче"
"Едимівна","F","Эдимовны","Эдимовне","Эдимовны","Эдимовной","Эдимовне"
"Едисолтанівна","F","Эдисолтановны","Эдисолтановне","Эдисолтановны","Эдисолтановной","Эдисолтановне"
"Едишерівна","F","Эдишеровны","Эдишеровне","Эдишеровны","Эдишеровной","Эдишеровне"
"Едмундович","M","Эдмундовича","Эдмундовичу","Эдмундовича","Эдмундовичем","Эдмундовиче"
"Едмундівна","F","Эдмундовны","Эдмундовне","Эдмундовны","Эдмундовной","Эдмундовне"
"Едуардович","M","Эдуардовича","Эдуардовичу","Эдуардовича","Эдуардовичем","Эдуардовиче"
"Едуардівна","F","Эдуардовны","Эдуардовне","Эдуардовны","Эдуардовной","Эдуардовне"
"Едід Оглу","M","Эдид Оглу","Эдид Оглу","Эдид Оглу","Эдид Оглу","Эдид Оглу"
"Едікович","M","Эдиковича","Эдиковичу","Эдиковича","Эдиковичем","Эдиковиче"
"Едітович","M","Эдитовича","Эдитовичу","Эдитовича","Эдитовичем","Эдитовиче"
"Едіївна","F","Эдиевны","Эдиевне","Эдиевны","Эдиевной","Эдиевне"
"Ежиевич","M","","","","",""
"Ежиевна","F","","","","",""
