"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Маміді","M","Мамідіє","Мамідія","Мамідю","Мамідія","Мамідієм","Мамідійові"
"Мамій","M","","","","","",""
"Мамік","M","","","","","",""
"Ман","M","","","","","",""
"Манан","M","","","","","",""
"Манана","F","Манане","Манани","Манані","Манани","Мананою","Манані"
"Манас","M","","","","","",""
"Манвел","M","Манвеле","Манвела","Манвелу","Манвела","Манвелом","Манвелові"
"Манвер","M","","","","","",""
"Мангук","F","Мангук","Мангук","Мангук","Мангук","Мангук","Мангук"
"Мандр","M","","","","","",""
"Мандір","M","Мандіре","Мандіра","Мандіру","Мандіра","Мандіром","Мандірові"
"Манефа","F","Манефо","Манефи","Манефі","Манефу","Манефою","Манефі"
"Манзура","F","Манзуре","Манзури","Манзурі","Манзури","Манзурою","Манзурі"
"Манолій","M","","","","","",""
"Мансур","M","Мансуре","Мансура","Мансуру","Мансура","Мансуром","Мансурі"
"Мансура","F","Мансуре","Мансури","Мансурі","Мансури","Мансурою","Мансурі"
"Манташ","M","","","","","",""
"Мануель","M","","","","","",""
"Манук","M","Мануко","Манука","Мануку","Манука","Мануком","Манукові"
"Манучар","M","Манучаре","Манучара","Манучару","Манучара","Манучаром","Манучарові"
"Мануіл","M","","","","","",""
"Маня","F","Маню","Мані","Мані","Мані","Манею","Мані"
"Марʼян","M","Марʼяне","Марʼяна","Марʼяну","Марʼяна","Марʼяном","Марʼяні"
"Марʼяна","F","Марʼяно","Марʼяни","Марʼяні","Марʼяни","Марʼяною","Марʼяні"
"Марат","M","Марате","Марата","Марату","Марата","Маратом","Мараті"
"Маргазим","M","","","","","",""
"Маргарета","F","Маргарете","Маргарети","Маргареті","Маргарети","Маргаретою","Маргареті"
"Маргарита","F","Маргарито","Маргарити","Маргариті","Маргарити","Маргаритою","Маргариті"
"Марго","F","Марго","Марго","Марго","Марго","Марго","Марго"
"Мардер","M","","","","","",""
"Мардерос","M","Мардеросе","Мардероса","Мардеросу","Мардероса","Мардеросом","Мардеросі"
"Марик","M","Марике","Марика","Марику","Марика","Мариком","Марикові"
"Марин","M","Марине","Марина","Марину","Марина","Марином","Маринові"
"Марина","F","Марино","Марини","Марині","Марини","Мариною","Марині"
"Марис","M","","","","","",""
"Марк","M","Марку","Марка","Марку","Марка","Марком","Марку"
"Маркел","M","","","","","",""
"Марко","M","Марке","Марка","Марку","Марка","Марком","Маркові"
"Маркс","M","Марксе","Маркса","Марксові","Маркса","Марксом","Марксові"
"Маркус","M","Маркусе","Маркуса","Маркусу","Маркуса","Маркусом","Маркусі"
"Маркуца","F","Маркуцо","Маркуци","Маркуці","Маркуцу","Маркуцою","Маркуці"
"Маркіл","M","","","","","",""
"Маркіна","F","Маркіне","Маркіни","Маркіні","Маркіни","Маркіною","Маркіні"
"Маркірос","M","Маркіросе","Маркіроса","Маркіросу","Маркіроса","Маркіросом","Маркіросові"
"Маркіян","M","Маркіяне","Маркіяна","Маркіяну","Маркіяна","Маркіяном","Маркіяні"
"Марлен","M","Марлене","Марлена","Марлену","Марлена","Марленом","Марленові"
"Марлена","F","Марлено","Марлени","Марлені","Марлени","Марленою","Марлені"
"Марлест","M","","","","","",""
"Маро","F","Маро","Маро","Маро","Маро","Маро","Маро"
"Марс","M","","","","","",""
"Марсель","F","Марсель","Марсель","Марсель","Марсель","Марсель","Марсель"
"Марсер","M","Марсере","Марсера","Марсеру","Марсера","Марсером","Марсерові"
"Марсис","M","Марсисе","Марсиса","Марсису","Марсиса","Марсисом","Марсисові"
"Марсіян","M","Марсіяне","Марсіяна","Марсіяну","Марсіяна","Марсіяном","Марсіяні"
"Мартʼян","M","","","","","",""
"Марта","F","Марто","Марти","Марті","Марти","Мартою","Марті"
"Мартен","M","","","","","",""
"Мартин","M","Мартине","Мартина","Мартину","Мартина","Мартином","Мартині"
"Мартирос","M","Мартиросе","Мартироса","Мартиросу","Мартироса","Мартиросом","Мартиросові"
"Мартиян","M","","","","","",""
"Мартік","M","Мартікове","Мартіка","Мартіку","Мартіка","Мартіком","Мартікові"
"Мартін","M","Мартіне","Мартіна","Мартіну","Мартіна","Мартіном","Мартінові"
"Мартіна","F","Мартіно","Мартіни","Мартіні","Мартіни","Мартіною","Мартіні"
"Маруб","M","","","","","",""
"Марфа","F","Марфо","Марфи","Марфі","Марфи","Марфою","Марфі"
"Марцелла","F","Марцелло","Марцелли","Марцеллі","Марцелли","Марцеллою","Марцеллі"
"Марцель","M","Марцель","Марцель","Марцель","Марцель","Марцель","Марцель"
"Марцелій","M","","","","","",""
"Марценія","F","Марценіє","Марценії","Марценії","Марценії","Марценією","Марцені"
"Марциан","M","","","","","",""
"Марцин","M","","","","","",""
"Марчел","M","Марчеле","Марчела","Марчелу","Марчела","Марчелом","Марчелові"
"Маріам","F","Маріаме","Маріами","Маріамі","Маріами","Маріамою","Маріамі"
"Маріан","M","","","","","",""
"Маріанна","F","Маріанно","Маріанни","Маріанні","Маріанни","Маріанною","Маріанні"
"Маріне","F","Маріне","Маріне","Маріне","Маріне","Маріне","Маріне"
"Маріо","M","Маріо","Маріо","Маріо","Маріо","Маріо","Маріо"
"Маріоніла","F","Маріоніле","Маріоніли","Маріонілі","Маріоніли","Маріонілою","Маріонілі"
"Маріора","F","Маріоро","Маріори","Маріорі","Маріори","Маріорою","Маріорі"
"Марісабель","F","Марісабель","Марісабель","Марісабель","Марісабель","Марісабель","Марісабель"
"Маріус","M","Маріусе","Маріуса","Маріусу","Маріуса","Маріусом","Маріусові"
"Марія","F","Маріє","Марії","Марії","Марії","Марією","Марії"
"Марієтта","F","Марієтте","Марієтти","Марієтті","Марієтти","Марієттою","Марієтті"
"Масад","M","Масаде","Масада","Масаду","Масада","Масадом","Масадові"
"Масальскіс","M","Масальскісе","Масальскіса","Масальскісу","Масальскіса","Масальскісом","Масальскісові"
"Масамі","M","Масаміе","Масамії","Масамії","Масамії","Масамієм","Масамієві"
"Масновій","M","","","","","",""
"Масут","M","Масуте","Масута","Масуту","Масута","Масутом","Масуті"
"Масіс","M","Масісе","Масіса","Масісу","Масіса","Масісом","Масісові"
"Матвій","M","Матвію","Матвія","Матвію","Матвія","Матвієм","Матвії"
"Матевос","M","Матевосе","Матевоса","Матевосу","Матевоса","Матевосом","Матевосові"
"Матир","M","Матире","Матира","Матиру","Матира","Матиром","Матирові"
"Маткурбан","M","","","","","",""
"Матлаб","M","","","","","",""
"Матус","M","","","","","",""
"Матьяш","M","Матьяше","Матьяша","Матьяшу","Матьяша","Матьяшем","Матьяшеві"
"Матякуб","M","Матякубе","Матякуба","Матякубу","Матякуба","Матякубом","Матякубові"
"Матяш","M","","","","","",""
"Матільда","F","Матільдо","Матільди","Матільді","Матільди","Матільдою","Матільді"
"Мафтей","M","","","","","",""
"Махаббат","F","Махаббате","Махаббати","Махаббаті","Махаббати","Махаббатою","Махаббаті"
"Махамад","M","","","","","",""
"Махамаджан","M","Махамаджане","Махамаджана","Махамаджану","Махамаджана","Махамаджаном","Махамаджанові"
"Махарбек","M","Махарбеку","Махарбека","Махарбеку","Махарбека","Махарбеком","Махарбеку"
"Махер","M","","","","","",""
"Махмет","M","","","","","",""
"Махмуд","M","Махмуде","Махмуда","Махмуду","Махмуда","Махмудом","Махмудові"
"Махмуджан","M","","","","","",""
"Махір","M","Махіре","Махіра","Махіру","Махіра","Махіром","Махірові"
"Машаді Огли","M","","","","","",""
"Машар","M","","","","","",""
"Маяк","M","","","","","",""
"Маїл","M","Маїле","Маїла","Маїлу","Маїла","Маїлом","Маїлові"
"Маїна","F","Маїне","Маїни","Маїні","Маїни","Маїною","Маїні"
"Маїс","M","","","","","",""
"Маїса","F","Маїсе","Маїси","Маїсі","Маїси","Маїсою","Маїсі"
"Мгер","M","Мгере","Мгера","Мгеру","Мгера","Мгером","Мгері"
"Мденар","M","Мденаре","Мденара","Мденару","Мденара","Мденаром","Мденарові"
"Мегді","M","","","","","",""
"Мегран","M","","","","","",""
"Медея","F","Медеє","Медеї","Медеї","Медеї","Медеєю","Медеї"
"Меджехед","M","","","","","",""
"Меджит","M","","","","","",""
"Медхат","M","Медхате","Медхата","Медхату","Медхата","Медхатом","Медхатові"
"Медіне","F","Медіне","Медіне","Медіне","Медіне","Медінеєю","Медіні"
"Мезен","M","Мезене","Мезена","Мезену","Мезена","Мезеном","Мезенові"
"Мейдан","M","","","","","",""
"Меланія","F","Меланіє","Меланії","Меланії","Меланії","Меланією","Меланії"
"Мелетій","M","","","","","",""
"Мелкон","M","","","","","",""
"Мелсо","M","","","","","",""
"Мелібай","M","","","","","",""
"Мелік","M","Меліку","Меліка","Меліку","Меліка","Меліком","Мелікові"
"Мелінда","F","Меліндо","Мелінди","Мелінді","Мелінду","Меліндою","Мелінді"
"Меліса","F","Мелісо","Меліси","Мелісі","Меліси","Мелісою","Мелісі"
"Мелія","F","Меліє","Мелії","Мелії","Мелії","Мелією","Мелії"
"Мемей","M","Мемеє","Мемея","Мемею","Мемея","Мемейом","Мемейові"
"Мемет","M","Мемете","Мемета","Меметові","Мемета","Меметом","Меметові"
"Мендель","M","","","","","",""
"Менляз","M","","","","","",""
"Мерʼєм","F","Мерʼєме","Мерʼєми","Мерʼємі","Мерʼєми","Мерʼємою","Мерʼємі"
"Мераб","M","","","","","",""
"Мерабі","M","Мерабе","Мерабія","Мерабію","Мерабія","Мерабіем","Мерабієві"
"Мерахім","M","Мерахіме","Мерахіма","Мерахіму","Мерахіма","Мерахімом","Мерахімові"
"Мерді","M","","","","","",""
"Мереж","M","","","","","",""
"Мерен","M","Мерене","Мерена","Мерену","Мерена","Мереном","Меренові"
"Меркул","M","","","","","",""
"Меркурій","M","","","","","",""
"Мерчак","M","","","","","",""
"Мері","F","Меріє","Мерії","Мерії","Мерії","Мерією","Мерії"
"Месль","F","Месль","Месль","Месль","Месль","Месльою","Месль"
"Методій","M","","","","","",""
"Метомед","M","","","","","",""
"Мефодій","M","Мефодію","Мефодія","Мефодію","Мефодія","Мефодієм","Мефодії"
"Мехман","M","","","","","",""
"Мехмед","M","Мехмеде","Мехмеда","Мехмеду","Мехмеда","Мехмедом","Мехмедові"
"Мехпара","F","Мехпаро","Мехпари","Мехпарі","Мехпару","Мехпарою","Мехпарі"
"Мехралій","M","","","","","",""
"Мехтигулі","M","","","","","",""
"Мехяддін","M","","","","","",""
"Мечислав","M","Мечиславе","Мечислава","Мечиславу","Мечислава","Мечиславом","Мечиславі"
"Мечислава","F","Мечиславо","Мечислави","Мечиславі","Мечиславу","Мечиславою","Мечиславі"
"Меєр","M","","","","","",""
"Меєроп","M","Меєропе","Меєропа","Меєропу","Меєропа","Меєропом","Меєропові"
"Меєрій","M","","","","","",""
"Мзія","F","Мзіє","Мзії","Мзії","Мзії","Мзією","Мзії"
"Мигаль","M","","","","","",""
"Мидхад","M","Мидхаде","Мидхада","Мидхаду","Мидхада","Мидхадом","Мидхадові"
"Мизагир","M","","","","","",""
"Мика","M","Мико","Мики","Миці","Мики","Микою","Миці"
"Микеле","M","Микеле","Микеле","Микеле","Микеле","Микеле","Микеле"
"Микита","M","Микито","Микити","Микиті","Микити","Микитою","Микиті"
"Микола","M","Миколо","Миколи","Миколі","Миколи","Миколою","Миколі"
"Микула","M","","","","","",""
"Микулаш","M","","","","","",""
"Милислав","M","","","","","",""
"Милосальд","M","","","","","",""
"Милослав","M","","","","","",""
"Мина","F","Мине","Мини","Мині","Мини","Минією","Минії"
"Мина","M","","","","","",""
"Минавар","M","Минаваре","Минавара","Минавару","Минавара","Минаварем","Минаварі"
"Миннур","F","Миннуре","Миннури","Миннурі","Миннури","Миннурою","Миннурі"
"Минос","M","Миносе","Миноса","Миносу","Миноса","Миносом","Миносові"
"Миншариф","M","","","","","",""
"Мирʼяна","F","Мирʼяно","Мирʼяни","Мирʼяні","Мирʼяни","Мирʼяною","Мирʼяні"
"Миргазим","M","Миргазиме","Миргазима","Миргазиму","Миргазима","Миргазимом","Миргазимові"
"Мирдислав","M","","","","","",""
"Мирза","M","Мирзаме","Мирза","Мирзу","Мирза","Мирзамом","Мирзамові"
"Миро","M","","","","","",""
"Мирон","M","Мироне","Мирона","Мирону","Мирона","Мироном","Мироні"
"Мирослав","M","Мирославе","Мирослава","Мирославу","Мирослава","Мирославом","Мирославі"
"Мирослава","F","Мирославо","Мирослави","Мирославі","Мирослави","Мирославою","Мирославі"
"Мирсал","M","Мирсале","Мирсала","Мирсалу","Мирсала","Мирсалом","Мирсалові"
"Миртаза","M","Миртазе","Миртаза","Миртазу","Миртаза","Миртазом","Миртазові"
"Мирісмаіл Огли","M","","","","","",""
"Мисак","M","Мисаке","Мисака","Мисаку","Мисака","Мисаком","Мисакові"
"Митислав","M","","","","","",""
"Митрофан","M","Митрофане","Митрофана","Митрофану","Митрофана","Митрофаном","Митрофані"
"Михаель","M","Михаелю","Михаеля","Михаелю","Михаеля","Михаелем","Михаелеві"
"Михайлина","F","Михайлино","Михайлини","Михайлині","Михайлини","Михайлиною","Михайлині"
"Михайло","M","Михайле","Михайла","Михайлу","Михайла","Михайлом","Михайлі"
"Михей","M","Михеє","Михея","Михею","Михея","Михейом","Михейові"
"Мишай","M","","","","","",""
"Мишель","M","Мишелю","Мишеля","Мишелю","Мишеля","Мишелем","Мишелеві"
"Мияник","M","","","","","",""
"Мкртич","M","Мкртиче","Мкртича","Мкртичу","Мкртича","Мкртичем","Мкртичені"
"Мнацакан","M","","","","","",""
"Мобил","M","","","","","",""
"Мовзес","M","Мовзесе","Мовзеса","Мовзесу","Мовзеса","Мовзесом","Мовзесові"
"Мовсар","M","","","","","",""
"Мовсес","M","","","","","",""
"Мовсум Огли","M","","","","","",""
"Модест","M","Модесте","Модеста","Модесту","Модеста","Модестом","Модестові"
"Мойсей","M","Мойсеє","Мойсея","Мойсею","Мойсея","Мойсеєм","Мойсеї"
"Мойша","M","Мойше","Мойша","Мойші","Мойша","Мойшою","Мойшові"
"Мойше","M","","","","","",""
"Мокрина","F","Мокрине","Мокрини","Мокрині","Мокрини","Мокриною","Мокрині"
"Момирігдян","M","","","","","",""
"Мона","F","Моно","Мони","Моні","Мони","Моною","Моні"
"Монтій","M","Монтіє","Монтія","Монтію","Монтія","Монтієм","Монтійові"
"Моніка","F","Моніко","Моніки","Моніці","Моніки","Монікою","Моніці"
"Мордон","M","Мордоне","Мордона","Мордону","Мордона","Мордоном","Мордонові"
"Мортун","M","Мортуне","Мортуна","Мортуну","Мортуна","Мортуном","Мортуні"
"Моріс","M","Морісе","Моріса","Морісу","Моріса","Морісом","Морісові"
"Моса","M","","","","","",""
"Моск","M","","","","","",""
"Мосса","M","","","","","",""
"Мотлій","M","","","","","",""
"Мотрона","F","Мотроне","Мотрони","Мотроні","Мотрони","Мотроною","Мотроні"
"Мохамад","M","Мохамаде","Мохамада","Мохамадові","Мохамада","Мохамадом","Мохамадові"
"Мохамед","M","Мохамеде","Мохамеда","Мохамеду","Мохамеда","Мохамедом","Мохамеді"
"Мохсен","M","Мохсене","Мохсена","Мохсену","Мохсена","Мохсеном","Мохсенові"
"Мохтарам","M","","","","","",""
"Моїсей","M","","","","","",""
"Мстислав","M","Мстиславе","Мстислава","Мстиславу","Мстислава","Мстиславом","Мстиславові"
"Мубарак","M","","","","","",""
"Мубаріз","M","Мубарізе","Мубаріза","Мубарізу","Мубаріза","Мубарізом","Мубарізові"
"Мубін","M","","","","","",""
"Муваріз","M","","","","","",""
"Мугаммар","M","","","","","",""
"Мудисер","M","","","","","",""
"Мужаба","M","Мужабе","Мужаба","Мужабу","Мужаба","Мужабом","Мужабові"
"Муза","F","Музо","Музи","Музі","Музи","Музою","Музі"
"Музаффер","M","Музаффере","Музаффера","Музафферу","Музаффера","Музаффером","Музаффері"
"Музеєр","M","","","","","",""
"Мукарам","M","","","","","",""
"Муллакай","M","","","","","",""
"Мумурзан","M","Мумурзане","Мумурзана","Мумурзану","Мумурзана","Мумурзаном","Мумурзанові"
"Мумін","M","Муміне","Муміна","Муміну","Муміна","Муміном","Мумінові"
"Муміне","F","Муміне","Муміне","Муміне","Муміне","Муміне","Муміне"
"Мунавар","M","","","","","",""
"Мунавир","M","","","","","",""
"Мунер","M","","","","","",""
"Мунир","M","","","","","",""
"Муніра","F","Муніре","Муніри","Мунірі","Муніри","Мунірою","Мунірі"
"Мурад","M","Мураде","Мурада","Мураду","Мурада","Мурадом","Мураді"
"Мурадхан","M","","","","","",""
"Мурат","M","Мурате","Мурата","Мурату","Мурата","Муратом","Мураті"
"Мурват","M","","","","","",""
"Мурвєт","M","Мурвєте","Мурвєта","Мурвєту","Мурвєта","Мурвєтом","Мурвєтові"
"Мурзакарій","M","","","","","",""
"Мурман","M","","","","","",""
"Мурсай","M","","","","","",""
"Муртаз","M","Муртазе","Муртаза","Муртазу","Муртаза","Муртазом","Муртазові"
"Муса","M","Мусо","Муси","Мусі","Муси","Мусою","Мусі"
"Мусавер","M","Мусавере","Мусавера","Мусаверу","Мусавера","Мусавером","Мусаверові"
"Мусавир","M","","","","","",""
"Мусавір","M","","","","","",""
"Мусай","M","","","","","",""
"Мусахан","M","","","","","",""
"Муслай","M","","","","","",""
"Муслим","M","","","","","",""
"Муслядін","M","Муслядіне","Муслядіна","Муслядіну","Муслядіна","Муслядіном","Муслядінові"
"Муслім","M","Мусліме","Мусліма","Мусліму","Мусліма","Муслімом","Муслімі"
"Мусмумбек","M","Мусмумбеку","Мусмумбека","Мусмумбеку","Мусмумбека","Мусмумбеком","Мусмумбекові"
"Мусрет","M","Мусрете","Мусрета","Мусрету","Мусрета","Мусретом","Мусретові"
"Мусретдин","M","","","","","",""
"Мусретдін","M","","","","","",""
"Мустафа","M","Мустафане","Мустафана","Мустафану","Мустафана","Мустафаном","Мустафанові"
"Мусій","M","Мусію","Мусія","Мусію","Мусія","Мусієм","Мусії"
"Муталіб Кизи","M","","","","","",""
"Муталіб","M","","","","","",""
"Мухавиш","M","Мухавише","Мухавиша","Мухавишу","Мухавиша","Мухавишом","Мухавишові"
"Мухамаджан","M","Мухамаджане","Мухамаджана","Мухамаджану","Мухамаджана","Мухамаджаном","Мухамаджанові"
"Мухаматнур","M","","","","","",""
"Мухамед","M","Мухамеде","Мухамеда","Мухамеду","Мухамеда","Мухамедом","Мухамеді"
"Мухаммед","M","","","","","",""
"Мухандіас","M","Мухандіасе","Мухандіаса","Мухандіасу","Мухандіаса","Мухандіасом","Мухандіасові"
"Муханід","M","Муханіде","Муханіда","Муханіду","Муханіда","Муханідом","Муханідові"
"Мухар","M","","","","","",""
"Мухиддин","M","","","","","",""
"Мухирдін","M","Мухирдіне","Мухирдіна","Мухирдіну","Мухирдіна","Мухирдіном","Мухирдінові"
"Мухитдін","M","","","","","",""
"Мухріддін","M","","","","","",""
"Мухтар","M","Мухтаре","Мухтара","Мухтару","Мухтара","Мухтаром","Мухтарові"
"Мухтас","M","","","","","",""
"Мушній","M","","","","","",""
"Мушрован","M","","","","","",""
"Мюдо","M","","","","","",""
"Мюді","M","","","","","",""
"Мягзум","M","","","","","",""
"Мєра","F","Мєре","Мєри","Мєрі","Мєри","Мєрією","Мєрі"
"Мігаль","M","Мігале","Мігаля","Мігалю","Мігаля","Мігальом","Мігальові"
"Мігалій","M","","","","","",""
"Мігель","M","Мігелю","Мігеля","Мігелю","Мігеля","Мігелем","Мігелеві"
"Мігран","M","","","","","",""
"Мігул","M","","","","","",""
"Мідхат","M","","","","","",""
"Міклош","M","","","","","",""
"Мікулаш","M","","","","","",""
"Міла","F","Мілле","Міли","Міллі","Міли","Мілою","Міллі"
"Мілан","M","Мілане","Мілана","Мілану","Мілана","Міланом","Мілані"
"Мілана","F","Мілано","Мілани","Мілані","Мілани","Міланою","Мілані"
"Мілена","F","Мілено","Мілени","Мілені","Мілени","Міленою","Мілені"
"Мілентій","M","Мілентію","Мілентія","Мілентієві","Мілентія","Мілентієм","Мілентієві"
"Мілентіна","F","Мілентіне","Мілентіни","Мілентіні","Мілентіни","Мілентіною","Мілентіні"
"Мілет","M","","","","","",""
"Мілетій","M","Мілетію","Мілетія","Мілетію","Мілетія","Мілетієм","Мілетію"
"Мілорд","M","","","","","",""
"Мільо","M","","","","","",""
"Мін","M","Міне","Міна","Міну","Міна","Міном","Міні"
"Мінавар","M","","","","","",""
"Міная","F","Мінає","Мінаї","Мінаю","Мінаї","Мінаєю","Мінаї"
"Мінгалій","M","","","","","",""
"Міндіяр","M","","","","","",""
"Міней","M","","","","","",""
"Мінель","F","Мінель","Мінель","Мінель","Мінель","Мінель","Мінель"
"Мінніхан","M","","","","","",""
"Мінодора","F","Мінодоре","Мінодори","Мінодорі","Мінодори","Мінодорою","Мінодорі"
"Мініахмет","M","","","","","",""
"Мінір","M","Мініре","Мініра","Мініру","Мініра","Мініром","Мінірові"
"Міона","F","Міоно","Міони","Міоні","Міони","Міоною","Міоні"
"Мір","M","Міре","Міра","Міру","Міра","Міром","Мірові"
"Міраб","M","","","","","",""
"Мірвайс","M","Мірвайсе","Мірвайса","Мірвайсу","Мірвайса","Мірвайсом","Мірвайсові"
"Міргусейн","M","","","","","",""
"Мірдат","M","","","","","",""
"Мірета","F","Мірете","Мірети","Міреті","Мірети","Міретою","Міреті"
"Мірзаахмат","M","","","","","",""
"Мірзакарім","M","Мірзакаріме","Мірзакаріма","Мірзакаріму","Мірзакаріма","Мірзакарімом","Мірзакарімові"
"Мірзакуд","M","","","","","",""
"Мірзахан Огли","M","","","","","",""
"Мірзуяр","M","","","","","",""
"Мірс","M","","","","","",""
"Мірса","M","Мірсо","Мірси","Мірсі","Мірси","Мірсою","Мірсі"
"Мірсаліх","M","","","","","",""
"Мірсій","M","","","","","",""
"Мірхап","M","Мірхапе","Мірхапа","Мірхапу","Мірхапа","Мірхапом","Мірхапові"
"Мірча","M","Мірчає","Мірчая","Мірчаю","Мірчая","Мірчаєм","Мірчайові"
"Мірче","M","","","","","",""
"Міріан","M","","","","","",""
"Міріель","F","Міріель","Міріель","Міріель","Міріель","Міріель","Міріель"
"Міріна","F","Міріно","Міріни","Міріні","Міріни","Міріною","Міріні"
"Міс","M","","","","","",""
"Місріхан","M","Місріхане","Місріхана","Місріхану","Місріхана","Місріханом","Місріханові"
"Міцирил","M","","","","","",""
"Набі","M","","","","","",""
"Набіджан","M","","","","","",""
"Наврузбек","M","Наврузбеке","Наврузбека","Наврузбеку","Наврузбека","Наврузбеком","Наврузбекові"
"Навілій","M","","","","","",""
"Навін","M","Навіне","Навіна","Навіну","Навіна","Навіном","Навінові"
"Нагім","M","","","","","",""
"Надасій","M","","","","","",""
"Надер","M","Надере","Надера","Надеру","Надера","Надером","Надерові"
"Наджибула","M","Наджибуле","Наджибула","Наджибулу","Наджибула","Наджибулом","Наджибулові"
"Наджип","M","Наджипе","Наджипа","Наджипу","Наджипа","Наджипом","Наджипові"
"Надир","M","","","","","",""
"Надмир","M","","","","","",""
"Надор","M","","","","","",""
"Надорік","M","Надоріке","Надоріка","Надоріку","Надоріка","Надоріком","Надорікові"
"Надір","M","Надіре","Надіра","Надіру","Надіра","Надіром","Надірові"
"Надіре","F","Надіре","Надіре","Надіре","Надіре","Надіре","Надіре"
"Надіслава","F","Надіславе","Надіслави","Надіславу","Надіслави","Надіславою","Надіславі"
"Надія","F","Надіє","Надії","Надії","Надії","Надією","Надії"
"Нажемутдін","M","","","","","",""
"Нажия","F","Нажиє","Нажиї","Нажиї","Нажиї","Нажиєю","Нажиї"
"Нажмед","M","","","","","",""
"Назар","M","Назаре","Назара","Назару","Назара","Назаром","Назарі"
"Назарій","M","Назарію","Назарія","Назарію","Назарія","Назарієм","Назарії"
"Назим","M","","","","","",""
"Назир","M","","","","","",""
"Назиф","M","","","","","",""
"Назлі","F","Назліє","Назлі","Назлі","Назлі","Назлією","Назлі"
"Назурло","M","Назурло","Назурло","Назурло","Назурло","Назурлом","Назурло"
"Назіка","F","Назіке","Назіки","Назіці","Назіки","Назікою","Назіці"
"Назілє","F","Назілє","Назілє","Назілє","Назілє","Назілє","Назілє"
"Назім","M","Назіме","Назіма","Назіму","Назіма","Назімом","Назімі"
"Назір","M","Назіре","Назіра","Назіру","Назіра","Назіром","Назірові"
"Назіра","F","Назіре","Назіри","Назірі","Назіри","Назірою","Назірі"
"Назіфе","F","Назіфе","Назіфе","Назіфе","Назіфе","Назіфе","Назіфе"
"Назія","F","Назіє","Назії","Назії","Назії","Назією","Назії"
"Найм","M","Найме","Найма","Найму","Найма","Наймом","Наймові"
"Налія","F","Наліє","Налії","Налії","Налії","Налією","Налії"
"Наматжон","M","Наматжоне","Наматжона","Наматжону","Наматжона","Наматжоном","Наматжонові"
"Намік","M","Наміке","Наміка","Наміку","Наміка","Наміком","Намікові"
"Нан","M","Нане","Нана","Нану","Нана","Наном","Нанові"
"Нана","F","Нано","Нани","Нані","Нани","Наною","Нані"
"Нано","M","","","","","",""
"Наомі","F","Наомі","Наомі","Наомі","Наомі","Наомі","Наомі"
"Наполеон","M","","","","","",""
"Нарвін","M","Нарвіне","Нарвіна","Нарвіну","Нарвіна","Нарвіном","Нарвінові"
"Наргіз","M","Наргізе","Наргіза","Наргізу","Наргіза","Наргізом","Наргізові"
"Наргіза","F","Наргізо","Наргізи","Наргізі","Наргізи","Наргізою","Наргізі"
"Нариджан","M","Нариджане","Нариджана","Нариджану","Нариджана","Нариджаном","Нариджанові"
"Нариман","M","Наримане","Наримана","Нариману","Наримана","Нариманом","Наримані"
"Наруіс","M","","","","","",""
"Нарциз","M","Нарцизе","Нарциза","Нарцизові","Нарциза","Нарцизом","Нарцизові"
"Нарцис","M","","","","","",""
"Нарі","M","","","","","",""
"Нарім","M","","","","","",""
"Наріман","M","","","","","",""
"Наріне","F","Наріне","Наріне","Наріне","Наріне","Наріне","Наріне"
"Насер","M","Насере","Насера","Насеру","Насера","Насером","Насерові"
"Насиб","M","","","","","",""
"Насир","M","","","","","",""
"Насирбег","M","Насирбеге","Насирбега","Насирбегу","Насирбега","Насирбегом","Насирбегові"
"Насталій","M","","","","","",""
"Насім","M","Насіме","Насіма","Насіму","Насіма","Насімом","Насімові"
"Насіма","F","Насіме","Насіми","Насімі","Насіми","Насімою","Насімі"
"Наталія","F","Наталіє","Наталії","Наталії","Наталії","Наталією","Наталії"
"Натан","M","Натане","Натана","Натану","Натана","Натаном","Натанові"
"Нателла","F","Нателло","Нателли","Нателлі","Нателли","Нателлою","Нателлі"
"Нато","M","Нато","Нато","Нато","Нато","Натом","Нато"
"Натіг","M","Натіге","Натіга","Натігу","Натіга","Натігом","Натігові"
"Наум","M","Науме","Наума","Науму","Наума","Наумом","Наумі"
"Наур","M","","","","","",""
"Науфал","M","","","","","",""
"Нафі","M","","","","","",""
"Нафізе","F","Нафізе","Нафізе","Нафізе","Нафізе","Нафізе","Нафізе"
"Нафіс","M","","","","","",""
"Нафіса","F","Нафісе","Нафіси","Нафісі","Нафіси","Нафісою","Нафісі"
"Нахим","M","","","","","",""
"Нахман","M","","","","","",""
"Нахім","M","","","","","",""
"Наіб-Огли","M","","","","","",""
"Наімджан","M","","","","","",""
"Наіна","F","Наіне","Наіни","Наіні","Наіни","Наіною","Наіні"
"Наір","M","","","","","",""
"Наіра","F","Наіре","Наіри","Наірі","Наіри","Наірою","Наірі"
"Наірі","M","Наіріє","Наірія","Наірію","Наірія","Наірієм","Наірієві"
"Наїл","M","","","","","",""
"Наїль","M","Наїлю","Наїля","Наїлю","Наїля","Наїлєм","Наїлі"
"Наїля","F","Наїло","Наїлі","Наїлі","Наїлі","Наїлею","Наїлі"
"Нвер","M","Нвере","Нвера","Нверу","Нвера","Нвером","Нверові"
"Неган","M","","","","","",""
"Недим","M","","","","","",""
"Нежат","M","Нежате","Нежата","Нежату","Нежата","Нежатом","Нежатові"
