"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Азрил","M","","","","","",""
"Азіз","M","Азізе","Азіза","Азізу","Азіза","Азізом","Азізі"
"Азіза","F","Азізе","Азізи","Азізі","Азізи","Азізою","Азізі"
"Азізулла","M","Азізулле","Азізулла","Азізуллу","Азізулла","Азізуллом","Азізуллові"
"Азім","M","Азіме","Азіма","Азіму","Азіма","Азімом","Азімі"
"Айбек","M","Айбеку","Айбека","Айбеку","Айбека","Айбеком","Айбекові"
"Айваз","M","Айвазе","Айваза","Айвазу","Айваза","Айвазом","Айвазові"
"Айвар","M","Айваре","Айвара","Айварові","Айвара","Айваром","Айварові"
"Айгарс","M","Айгарсе","Айгарса","Айгарсу","Айгарса","Айгарсом","Айгарсові"
"Айгуль","F","Ангуль","Ангуль","Ангуль","Ангуль","Ангуль","Ангуль"
"Айдар","M","Айдаре","Айдара","Айдарові","Айдара","Айдаром","Айдарові"
"Айдер","M","Айдере","Айдера","Айдеру","Айдера","Айдером","Айдерові"
"Айдин","M","","","","","",""
"Айдімір","M","Айдіміре","Айдіміра","Айдіміру","Айдіміра","Айдіміром","Айдімірові"
"Айдін","M","Айдіне","Айдіна","Айдіну","Айдіна","Айдіном","Айдінові"
"Айзек","M","","","","","",""
"Айзор","M","","","","","",""
"Айк","M","Айке","Айка","Айку","Айка","Айком","Айкові"
"Айкад","M","Айкаде","Айкада","Айкаду","Айкада","Айкадом","Айкадові"
"Айказ","M","","","","","",""
"Айкас","M","Айкасе","Айкаса","Айкасу","Айкаса","Айкасом","Айкасові"
"Айман","M","Аймане","Аймана","Айману","Аймана","Айманом","Айманові"
"Айна","F","Айно","Айни","Айні","Айни","Айною","Айні"
"Айнур","F","Айнур","Айнур","Айнур","Айнур","Айнур","Айнур"
"Айразат","M","","","","","",""
"Айралетян","M","Айралетяне","Айралетяна","Айралетяну","Айралетяна","Айралетяном","Айралетянові"
"Айрапет","M","","","","","",""
"Айрат","M","Айрате","Айрата","Айрату","Айрата","Айратом","Айратові"
"Айсет","F","Айсет","Айсет","Айсет","Айсет","Айсет","Айсет"
"Айтуган","M","","","","","",""
"Айше","F","Айше","Айше","Айше","Айше","Айше","Айше"
"Акай","M","","","","","",""
"Акакій","M","Акакію","Акакія","Акакію","Акакія","Акакієм","Акакієві"
"Акарія","F","Акаріє","Акарії","Акарії","Акарії","Акарією","Акарії"
"Акбар","M","Акбаре","Акбара","Акбару","Акбара","Акбаром","Акбарі"
"Акбер","M","","","","","",""
"Акзам","M","","","","","",""
"Акиф","M","","","","","",""
"Акмеджан","M","","","","","",""
"Акмурад","M","","","","","",""
"Акоп","M","Акопе","Акопа","Акопу","Акопа","Акопом","Акопі"
"Акор","M","","","","","",""
"Акрам","M","Акраме","Акрама","Акраму","Акрама","Акрамом","Акрамові"
"Аксель","M","Акселю","Акселя","Акселю","Акселя","Акселем","Акселеві"
"Аксенія","F","Аксеніє","Аксенії","Аксенії","Аксенії","Аксенією","Аксенії"
"Аксьон","M","Аксьоне","Аксьона","Аксьону","Аксьона","Аксьоном","Аксьонові"
"Акуліна","F","Акуліно","Акуліни","Акуліні","Акуліни","Акуліною","Акуліні"
"Акіндин","M","","","","","",""
"Акіндій","M","","","","","",""
"Акіор","M","Акіоре","Акіора","Акіору","Акіора","Акіором","Акіорові"
"Акіф","M","Акіфе","Акіфа","Акіфу","Акіфа","Акіфом","Акіфові"
"Ала","M","Ало","Али","Алі","Али","Алою","Алі"
"Аладдін","M","Аладдінове","Аладдіна","Аладдіну","Аладдіна","Аладдіном","Аладдінові"
"Алан","M","Алане","Алана","Алану","Алана","Аланом","Аланові"
"Аланд","M","","","","","",""
"Аланія","F","Аланіє","Аланії","Аланії","Аланії","Аланією","Аланії"
"Албена","F","Албено","Албени","Албені","Албени","Албеною","Албені"
"Алгібек","M","","","","","",""
"Алгірдо","M","","","","","",""
"Алевтин","M","","","","","",""
"Алевтина","F","Алевтино","Алевтини","Алевтині","Алевтини","Алевтиною","Алевтині"
"Алек","M","","","","","",""
"Алекпер-Огли","M","","","","","",""
"Алекпер","M","Алекпере","Алекпера","Алекперу","Алекпера","Алекпером","Алекперові"
"Алекс","M","Алексе","Алекса","Алексу","Алекса","Алексом","Алексові"
"Ален","M","Алене","Алена","Алену","Алена","Аленом","Аленові"
"Аленкес","M","Аленкесе","Аленкеса","Аленкесу","Аленкеса","Аленкесом","Аленкесові"
"Аленід","M","","","","","",""
"Алескер","M","Алескере","Алескера","Алескеру","Алескера","Алескером","Алескерові"
"Алкушат","M","","","","","",""
"Алла","F","Алло","Алли","Аллі","Алли","Аллою","Аллі"
"Аллаверді","M","","","","","",""
"Алладін","M","","","","","",""
"Аллаз Огли","M","","","","","",""
"Аллам","M","Алламе","Аллама","Алламу","Аллама","Алламом","Алламові"
"Аллан","M","","","","","",""
"Аллахверан","M","","","","","",""
"Алліул","M","","","","","",""
"Алмаз","F","Алмазе","Алмази","Алмазі","Алмази","Алмазою","Алмазі"
"Алмаз","M","","","","","",""
"Алман","M","Алмане","Алмана","Алману","Алмана","Алманом","Алманові"
"Алмоц","M","","","","","",""
"Алойсей","M","","","","","",""
"Алоіз","M","","","","","",""
"Алоїс","M","","","","","",""
"Алпер","M","Алпере","Алпера","Алперу","Алпера","Алпером","Алперові"
"Алсу","F","Алсу","Алсу","Алсу","Алсу","Алсу","Алсу"
"Алтинбек","M","","","","","",""
"Алхазур","M","Алхазуре","Алхазура","Алхазуру","Алхазура","Алхазуром","Алхазурові"
"Алхай","M","Алхає","Алхая","Алхаю","Алхая","Алхаєм","Алхаєві"
"Алхас Огли","M","","","","","",""
"Алшавид","M","","","","","",""
"Аль Абдель","M","Аль Абделє","Аль Абделя","Аль Абделю","Аль Абделя","Аль Абдельом","Аль Абдельові"
"Альберт","M","Альберте","Альберта","Альберту","Альберта","Альбертом","Альберті"
"Альбертина","F","Альбертино","Альбертини","Альбертині","Альбертини","Альбертиною","Альбертині"
"Альберто","M","Альберто","Альберто","Альберто","Альберто","Альберто","Альберто"
"Альбін","M","Альбіне","Альбіна","Альбіну","Альбіна","Альбіном","Альбінові"
"Альбіна","F","Альбіно","Альбіни","Альбіні","Альбіни","Альбіною","Альбіні"
"Альвин","M","","","","","",""
"Альвіан","M","","","","","",""
"Альвідас","M","Альвідасе","Альвідаса","Альвідасу","Альвідаса","Альвідасом","Альвідасові"
"Альвіна","F","Альвіне","Альвіни","Альвіні","Альвіни","Альвіною","Альвіні"
"Альгідрас","M","Альгідрасе","Альгідраса","Альгідрасу","Альгідраса","Альгідрасом","Альгідрасові"
"Альгімант","M","","","","","",""
"Альгімантас","M","Альгімантасе","Альгімантаса","Альгімантасові","Альгімантаса","Альгімантасом","Альгімантасові"
"Альгірдас","M","","","","","",""
"Альгіс","M","Альгісе","Альгіса","Альгісу","Альгіса","Альгісом","Альгісі"
"Альдонгар","M","","","","","",""
"Альман","M","","","","","",""
"Альмутас","M","","","","","",""
"Альмір","M","Альміре","Альміра","Альміру","Альміра","Альміром","Альмірові"
"Альміра","F","Альміре","Альміри","Альмірі","Альміри","Альмірою","Альмірі"
"Альона","F","Альоно","Альони","Альоні","Альони","Альоною","Альоні"
"Альт","M","","","","","",""
"Альтоф","M","","","","","",""
"Альфит","M","","","","","",""
"Альфон","M","","","","","",""
"Альфонс","M","Альфонсе","Альфонса","Альфонсу","Альфонса","Альфонсом","Альфонсові"
"Альфос","M","","","","","",""
"Альфред","M","Альфреде","Альфреда","Альфреду","Альфреда","Альфредом","Альфреді"
"Альфреда","F","Альфредо","Альфреди","Альфреді","Альфреди","Альфредею","Альфреді"
"Альфікур","F","Альфікуре","Альфікури","Альфікурі","Альфікури","Альфікурою","Альфікурі"
"Альфір","M","Альфіре","Альфіра","Альфіру","Альфіра","Альфіром","Альфірові"
"Альфіра","F","Альфіро","Альфіри","Альфірі","Альфіру","Альфірою","Альфірі"
"Альфіт","M","Альфіте","Альфіта","Альфіту","Альфіта","Альфітом","Альфітові"
"Альфія","F","Альфіє","Альфії","Альфії","Альфії","Альфією","Альфії"
"Альхаддад","M","Альхаддаде","Альхаддада","Альхаддаду","Альхаддада","Альхаддадом","Альхаддадові"
"Альяна","F","Альяне","Альяни","Альяні","Альяни","Альяною","Альяні"
"Альянс","M","","","","","",""
"Алюзас","M","","","","","",""
"Алялим","M","","","","","",""
"Аляр","M","","","","","",""
"Алі Гаджи","M","Алі Гаджиє","Алі Гаджия","Алі Гаджию","Алі Гаджия","Алі Гаджийом","Алі Гаджиєві"
"Алі Огли","M","","","","","",""
"Алі","M","Алі","Алі","Алі","Алі","Алі","Алі"
"Алібала Огли","M","","","","","",""
"Алібашай","M","","","","","",""
"Алівид","M","","","","","",""
"Аліджан","M","Аліджане","Аліджана","Аліджану","Аліджана","Аліджаном","Аліджанові"
"Аліе","F","Аліє","Алії","Алії","Алії","Алією","Алії"
"Алізамін","M","Алізаміне","Алізаміна","Алізаміну","Алізаміна","Алізаміном","Алізамінові"
"Алік","M","Аліку","Аліка","Аліку","Аліка","Аліком","Аліку"
"Аліка","F","Аліке","Аліки","Алікі","Аліки","Алікою","Алікі"
"Аліл","M","Аліле","Аліла","Алілу","Аліла","Алілом","Алілові"
"Аліля","F","Аліле","Аліли","Алілі","Аліли","Алілою","Алілі"
"Алім","M","Аліме","Аліма","Аліму","Аліма","Алімом","Алімі"
"Аліме","F","Аліме","Аліми","Алімі","Аліми","Алімою","Алімі"
"Алімжан","M","Алімжане","Алімжана","Алімжану","Алімжана","Алімжаном","Алімжанові"
"Аліна","F","Аліно","Аліни","Аліні","Аліни","Аліною","Аліні"
"Алінтин","M","","","","","",""
"Аліс","M","","","","","",""
"Аліса","F","Алісо","Аліси","Алісі","Аліси","Алісою","Алісі"
"Аліт","M","","","","","",""
"Аліугві","M","","","","","",""
"Аліул","M","","","","","",""
"Аліф","M","Аліфе","Аліфа","Аліфу","Аліфа","Аліфом","Аліфові"
"Аліфард","M","","","","","",""
"Аліфхан","M","","","","","",""
"Аліхан","M","Аліхане","Аліхана","Аліхану","Аліхана","Аліханом","Аліханові"
"Аліция","F","Аліциє","Аліциї","Аліциї","Аліциї","Аліциєю","Аліциї"
"Алічубан","M","","","","","",""
"Алішер","M","Алішере","Алішера","Алішеру","Алішера","Алішером","Алішерові"
"Алія","F","Аліє","Алії","Алії","Алії","Алією","Алії"
"Амавор","M","Амаворе","Амавора","Амавору","Амавора","Амавором","Амаворові"
"Амаду","M","","","","","",""
"Амазас","M","","","","","",""
"Амалія","F","Амаліє","Амалії","Амалії","Амалії","Амалією","Амалії"
"Аман-Гельди","M","Аман-Гельде","Аман-Гельди","Аман-Гельді","Аман-Гельдии","Аман-Гельдом","Аман-Гельдові"
"Аман","M","Амане","Амана","Аману","Амана","Аманом","Аманові"
"Амаяк","M","Амаяку","Амаяка","Амаяку","Амаяка","Амаяком","Амаякові"
"Амаіс","M","","","","","",""
"Амбарцум","M","Амбарцуме","Амбарцума","Амбарцуму","Амбарцума","Амбарцумом","Амбарцумові"
"Амбросій","M","Амбросію","Амбросія","Амбросію","Амбросія","Амбросієм","Амбросії"
"Амбруш","M","","","","","",""
"Амвросій","M","","","","","",""
"Амед","M","","","","","",""
"Амест","F","Аместо","Амести","Аместі","Амести","Аместою","Аместі"
"Амет","M","Амете","Амета","Амету","Амета","Аметом","Аметі"
"Амос","M","","","","","",""
"Ампол","M","","","","","",""
"Амрос","M","","","","","",""
"Амунолах","M","","","","","",""
"Амур","M","Амуре","Амура","Амуру","Амура","Амуром","Амурові"
"Амуралій","M","","","","","",""
"Амін","M","","","","","",""
"Аміна","F","Аміно","Аміни","Аміні","Аміни","Аміною","Аміні"
"Амір","M","Аміре","Аміра","Аміру","Аміра","Аміром","Амірові"
"Аміра","F","Аміро","Аміри","Амірі","Аміри","Амірою","Амірі"
"Аміран","M","Аміране","Амірана","Амірану","Амірана","Аміраном","Аміранові"
"Аміраслан Огли","M","","","","","",""
"Аміргалі","M","","","","","",""
"Амірзан","M","","","","","",""
"Амірхан","M","Амірхане","Амірхана","Амірхану","Амірхана","Амірханом","Амірханові"
